ea_1,indir_name
ea_2,outdir_name
ea_grid,igrid
ea_topo,world
ea_taux_u,xu_wstress
ea_tauy_u,yu_wstress
ea_taux_v,xv_wstress
ea_tauy_v,yv_wstress
ea_adv_u,u_wspeed
ea_adv_v,v_wspeed
ea_3,npstp
ea_4,iwstp
ea_5,itstp
ea_6,ianav
ea_7,ans
ea_8,yearlen
ea_9,nyear
ea_10,ndta
ea_11,scf
ea_12,diffamp(1)
ea_13,diffamp(2)
ea_14,diffwid
ea_15,difflin
ea_16,betaz(1)
ea_18,betaz(2)
ea_17,betam(1)
ea_19,betam(2)
ea_22,tatm
ea_23,relh0_ocean
ea_24,relh0_land
ea_25,extra1a
ea_26,extra1b
ea_27,extra1c
ea_28,scl_fwf
ea_Tdata,tdatafile
ea_Hdata,qdatafile
ea_29,lout
ea_30,netin
ea_31,netout
ea_32,ascout
ea_33,filenetin
ea_34,dirnetout
ea_35,lin
ea_36,atchem_radfor
olr_adj0,olr_adj0
ea_37,ents_radfor
ea_38,orbit_radfor
ea_ea_39,t_orbit
ea_40,norbit
ea_41,orbitsteps
ea_42,filenameorbit
